의원A,의원B,수정안반영폐기,본회의의결,소관위심사,철회,본회의부의안건,본회의불부의,소관위접수,폐기,체계자구심사,정부이송,접수,대안반영폐기,공포,본희의의결
강기윤(姜起潤),강대식(姜大植),1,53,59,5,0,0,25,2,0,0,8,34,7,0
강기윤(姜起潤),강득구(姜得求),0,51,2,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),강민국(姜旻局),0,53,31,4,0,0,11,0,0,0,8,18,0,0
강기윤(姜起潤),강민정(姜旼姃),0,26,0,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),강병원(姜炳遠),0,51,1,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),강선우(姜仙祐),0,51,1,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),강성희(姜聖熙),0,0,0,0,0,0,0,0,0,0,0,0,0,0
강기윤(姜起潤),강은미(姜恩美),0,3,0,0,0,0,1,0,0,0,2,2,0,0
강기윤(姜起潤),강준현(康準鉉),0,51,2,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),강훈식(姜勳植),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),고민정(高旼廷),0,51,1,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),고영인(高永寅),0,51,2,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),고용진(高榕禛),0,51,1,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),구자근(具滋根),2,52,245,12,0,1,39,4,2,0,8,83,23,0
강기윤(姜起潤),권명호(權明浩),1,53,250,8,0,0,30,5,0,0,8,74,26,0
강기윤(姜起潤),권성동(權性東),2,44,57,5,0,0,15,0,0,0,8,36,2,0
강기윤(姜起潤),권영세(權寧世),0,53,36,4,0,0,13,0,0,0,8,20,6,0
강기윤(姜起潤),권은희(權垠希),0,30,7,3,0,0,5,0,0,0,5,4,0,0
강기윤(姜起潤),권인숙(權仁淑),0,51,1,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),권칠승(權七勝),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),기동민(奇東旻),0,51,1,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),김경만(金京萬),0,51,0,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),김경협(金炅俠),0,51,0,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),김교흥(金敎興),0,51,0,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),김기현(金起炫),0,54,55,5,0,0,11,1,0,0,8,30,2,0
강기윤(姜起潤),김남국(金南局),0,42,1,0,0,0,0,0,0,0,0,2,0,0
강기윤(姜起潤),김도읍(金度邑),0,54,81,6,0,0,15,0,0,0,8,44,12,0
강기윤(姜起潤),김두관(金斗官),0,51,0,3,0,0,4,0,0,0,0,1,0,0
강기윤(姜起潤),김미애(金美愛),0,52,46,4,0,0,32,1,0,0,8,23,2,0
강기윤(姜起潤),김민기(金敏基),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김민석(金民錫),0,51,4,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),김민철(金敏徹),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김병기(金炳基),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김병욱(金炳旭),3,97,82,8,0,0,39,1,0,0,6,32,6,0
강기윤(姜起潤),김병욱(金炳旭),3,97,82,8,0,0,39,1,0,0,6,32,6,0
강기윤(姜起潤),김병주(金柄周),0,52,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김상훈(金相勳),8,54,82,5,0,0,26,1,0,0,8,35,6,0
강기윤(姜起潤),김상희(金相姬),0,51,0,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),김석기(金碩基),2,54,112,7,0,0,25,4,0,0,8,52,9,0
강기윤(姜起潤),김성원(金成願),0,54,128,7,0,0,31,1,1,0,8,52,11,0
강기윤(姜起潤),김성주(金成柱),0,51,1,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김성환(金星煥),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김수흥(金洙興),0,51,1,3,0,0,1,0,0,0,0,1,1,0
강기윤(姜起潤),김승남(金承南),0,51,1,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김승수(金承洙),0,53,73,6,0,0,30,1,2,0,8,28,3,0
강기윤(姜起潤),김승원(金勝源),0,51,3,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김영배(金永培),0,51,0,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),김영선(金映宣),1,26,46,3,0,0,30,0,0,0,0,4,0,0
강기윤(姜起潤),김영식(金英植),2,53,130,4,0,3,35,1,0,0,8,56,14,0
강기윤(姜起潤),김영주(金榮珠),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김영진(金榮鎭),0,51,0,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),김영호(金映豪),0,51,0,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),김예지(金睿智),3,54,151,11,0,0,38,1,1,1,8,63,7,0
강기윤(姜起潤),김용민(金容民),0,51,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김용판(金用判),4,53,174,5,0,0,47,4,2,0,8,64,9,0
강기윤(姜起潤),김웅(金雄),0,53,18,4,0,0,11,0,0,0,8,13,0,0
강기윤(姜起潤),김원이(金元二),0,51,3,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김윤덕(金潤德),0,51,1,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),김의겸(金宜謙),0,26,0,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),김정재(金汀才),0,54,73,5,0,0,16,1,0,0,8,37,4,0
강기윤(姜起潤),김정호(金禎鎬),0,51,0,3,0,0,1,0,0,0,0,1,1,0
강기윤(姜起潤),김종민(金鐘民),0,51,0,3,0,0,2,0,0,0,0,1,0,0
강기윤(姜起潤),김주영(金周暎),0,50,1,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),김진표(金振杓),0,25,0,0,0,0,0,0,0,0,0,2,0,0
강기윤(姜起潤),김철민(金哲玟),0,49,1,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),김태년(金太年),0,49,0,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),김태호(金台鎬),1,41,63,5,0,0,19,0,0,0,8,33,6,0
강기윤(姜起潤),김학용(金學容),0,25,26,3,0,0,7,0,0,0,1,5,2,0
강기윤(姜起潤),김한규(金翰奎),0,25,0,3,0,0,2,0,0,0,0,0,0,0
강기윤(姜起潤),김한정(金漢正),0,49,0,3,0,0,1,0,0,0,0,0,1,0
강기윤(姜起潤),김형동(金亨東),0,52,93,5,0,0,29,2,0,0,8,35,8,0
강기윤(姜起潤),김홍걸(金弘傑),0,14,5,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),김회재(金會在),0,49,1,3,0,0,0,0,0,0,0,2,0,0
강기윤(姜起潤),김희곤(金熙坤),0,51,111,5,0,0,46,1,2,1,8,35,4,0
강기윤(姜起潤),김희국(金熙國),5,52,94,8,0,0,12,2,0,0,8,40,13,0
강기윤(姜起潤),남인순(南仁順),0,49,1,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),노용호(魯容昊),0,25,19,3,0,0,7,0,0,1,0,3,1,0
강기윤(姜起潤),노웅래(盧雄來),0,49,0,3,0,0,0,0,0,0,0,1,0,0
강기윤(姜起潤),도종환(都鍾煥),0,49,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),류성걸(柳性杰),2,51,40,5,0,0,18,0,0,0,8,19,2,0
강기윤(姜起潤),류호정(柳好貞),0,3,2,0,0,0,0,0,0,0,2,1,0,0
강기윤(姜起潤),맹성규(孟聖奎),0,49,0,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),문정복(文貞福),0,49,4,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),문진석(文振碩),0,49,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),민병덕(閔炳德),0,49,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),민형배(閔馨培),0,33,5,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),민홍철(閔洪喆),0,49,1,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),박광온(朴洸瑥),0,49,0,3,0,0,1,0,0,0,0,2,0,0
강기윤(姜起潤),박대수(朴大壽),3,51,149,5,0,0,53,0,1,0,8,42,3,0
강기윤(姜起潤),박대출(朴大出),7,52,31,6,0,0,14,0,0,0,8,17,2,0
강기윤(姜起潤),박덕흠(朴德欽),3,36,147,7,0,3,52,1,1,0,2,41,9,0
강기윤(姜起潤),박범계(朴範界),0,49,0,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),박병석(朴炳錫),0,25,0,3,0,0,0,0,0,0,0,0,0,0
강기윤(姜起潤),박상혁(朴商赫),0,49,1,3,0,0,1,0,0,0,0,0,0,0
강기윤(姜起潤),박성민(朴聖敏),1,51,100,4,0,0,39,0,1,0,8,32,11,0
강기윤(姜起潤),박성준(朴省俊),0,49,1,3,0,0,1,0,0,0,0,1,0,0
강기윤(姜起潤),박성중(朴成重),1,50,119,7,0,3,23,4,1,0,8,47,5,0
강기윤(姜起潤),박수영(朴洙瑩),1,51,27,4,0,0,20,0,0,0,8,15,1,0
강기윤(姜起潤),박영순(朴英淳),0,50,1,3,0,0,0,0,0,0,0,1,0,0
