선수,연도,팀,연봉,WAR
헥터,2017,KIA,"170,000",5.803
양현종,2017,KIA,"150,000",4.561
최형우,2017,KIA,"150,000",6.674
윤석민,2017,KIA,"125,000",
버나디나,2017,KIA,"75,000",5.336
팻딘,2017,KIA,"70,000",3.458
이범호,2017,KIA,"65,000",2.592
김주찬,2017,KIA,"60,000",2.342
나지완,2017,KIA,"60,000",3.457
임창용,2017,KIA,"50,000",1.512
안치홍,2017,KIA,"22,000",4.232
이명기,2017,KIA,"15,000",3.090
서동욱,2017,KIA,"15,000",0.678
김진우,2017,KIA,"12,000",-0.793
심동섭,2017,KIA,"11,000",0.194
김주형,2017,KIA,"11,000",-0.775
신종길,2017,KIA,"9,800",-0.277
김호령,2017,KIA,"9,500",0.862
홍건희,2017,KIA,"9,000",0.023
고효준,2017,KIA,"8,000",0.825
김선빈,2017,KIA,"8,000",5.047
손영민,2017,KIA,"8,000",-0.518
한승혁,2017,KIA,"7,500",-0.279
김다원,2017,KIA,"6,000",
김민식,2017,KIA,"6,000",
한기주,2017,KIA,"6,000",
백용환,2017,KIA,"5,500",-0.130
최정민,2017,KIA,"5,500",-0.018
곽정철,2017,KIA,"5,000",
박지훈,2017,KIA,"5,000",-0.124
박경태,2017,KIA,"4,900",-0.110
김윤동,2017,KIA,"4,700",1.886
고장혁,2017,KIA,"4,300",
오준혁,2017,KIA,"4,200",0.056
이호신,2017,KIA,"4,000",0.021
이준호,2017,KIA,"4,000",
김지성,2017,KIA,"3,800",-0.205
임기준,2017,KIA,"3,700",0.651
홍재호,2017,KIA,"3,700",0.001
최정용,2017,KIA,"3,500",
최병연,2017,KIA,"3,300",-0.139
김명찬,2017,KIA,"3,200",0.145
정용운,2017,KIA,"3,100",-0.032
한승택,2017,KIA,"3,100",-0.140
이인행,2017,KIA,"3,100",-0.097
임기영,2017,KIA,"3,100",2.733
최원준,2017,KIA,"3,100",0.586
정동현,2017,KIA,"3,000",-0.108
전은석,2017,KIA,"2,800",
김종훈,2017,KIA,"2,800",-0.123
김규성,2017,KIA,"2,800",
김현준,2017,KIA,"2,800",
신범수,2017,KIA,"2,800",
류승현,2017,KIA,"2,800",
손동욱,2017,KIA,"2,800",
최승주,2017,KIA,"2,700",
김석환,2017,KIA,"2,700",
정윤환,2017,KIA,"2,700",
노관현,2017,KIA,"2,700",0.039
박정우,2017,KIA,"2,700",
강찬영,2017,KIA,"2,700",
송후섭,2017,KIA,"2,700",
박진태,2017,KIA,"2,700",-0.116
유승철,2017,KIA,"2,700",
이승호,2017,KIA,"2,700",
김원섭,2017,KIA,0,
김용인,2017,KIA,0,
정상교,2017,KIA,0,
배힘찬,2017,KIA,0,-0.486
신승현,2017,KIA,0,
최영필,2017,KIA,0,-0.104
김광수,2017,KIA,0,-0.768
러프,2017,삼성,"110,000",3.534
윤성환,2017,삼성,"80,000",3.733
장원삼,2017,삼성,"75,000",0.334
우규민,2017,삼성,"70,000",0.200
박한이,2017,삼성,"45,000",-0.008
조동찬,2017,삼성,"40,000",1.204
김상수,2017,삼성,"31,000",0.022
이원석,2017,삼성,"30,000",1.102
이지영,2017,삼성,"26,000",-0.188
박해민,2017,삼성,"23,000",3.128
심창민,2017,삼성,"21,000",2.084
구자욱,2017,삼성,"16,000",5.260
김대우,2017,삼성,"15,000",-1.324
배영섭,2017,삼성,"15,000",0.384
권오준,2017,삼성,"10,500",0.898
백정현,2017,삼성,"10,000",2.145
박근홍,2017,삼성,"10,000",-0.284
백상원,2017,삼성,"9,000",-0.635
강한울,2017,삼성,"9,000",1.597
정인욱,2017,삼성,"7,200",-0.610
이영욱,2017,삼성,"6,500",-0.091
장필준,2017,삼성,"6,500",1.301
김기태,2017,삼성,"6,500",
이승현,2017,삼성,"6,200",0.302
우동균,2017,삼성,"5,500",-0.269
