순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,테임즈,15N1B,10.71,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,.381,.498,.790,1.288,.530,222.3,10.71,7.02
2,이정후,22키CF,9.23,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,.349,.421,.575,.996,.441,182.5,9.23,6.72
3,로하스,20KRF,7.76,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,.349,.417,.680,1.097,.467,180.5,7.76,7.29
4,박병호,15넥1B,7.76,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,.343,.436,.714,1.150,.481,181.9,7.76,7.82
5,최형우,16삼LF,7.75,138,618,519,99,195,46,2,31,338,144,2,2,83,9,8,83,12,0,7,.376,.464,.651,1.116,.480,177.8,7.75,5.50
6,김재환,17두LF,7.46,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,.340,.429,.603,1.032,.440,170.9,7.46,7.45
7,피렐라,22삼LF,7.40,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,.342,.411,.565,.976,.434,169.3,7.40,4.20
8,김하성,19키SS,7.17,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,.307,.389,.491,.880,.397,145.7,7.17,4.52
9,박건우,17두CF,7.01,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,.366,.424,.582,1.006,.433,163.8,7.01,2.76
10,홍창기,21LCF,6.98,144,651,524,103,172,26,2,4,214,52,23,8,110,15,4,95,6,0,2,.328,.456,.408,.865,.417,152.6,6.98,4.47
11,김재환,18두LF,6.94,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,.334,.405,.657,1.062,.438,168.8,6.94,5.80
12,김하성,20키SS,6.83,138,622,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,.306,.397,.523,.921,.407,147.0,6.83,4.22
13,이정후,21키CF,6.73,123,544,464,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,.360,.438,.522,.959,.441,165.2,6.73,3.17
14,김현수,15두LF,6.70,141,630,512,103,167,26,0,28,277,121,11,5,101,8,12,63,13,0,9,.326,.438,.541,.979,.427,163.2,6.70,6.29
15,양의지,19NC,6.69,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,.354,.438,.574,1.012,.452,179.8,6.69,1.88
16,최형우,17KLF,6.66,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,.342,.450,.576,1.026,.442,163.5,6.66,5.45
17,박병호,18넥1B,6.62,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,.345,.457,.718,1.175,.478,190.9,6.62,6.44
18,최정,17S3B,6.56,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,.316,.427,.684,1.111,.456,167.6,6.56,5.00
19,나성범,22KRF,6.50,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,.320,.402,.508,.910,.411,157.4,6.50,3.74
20,나바로,15삼2B,6.45,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,.287,.393,.596,.988,.416,143.1,6.45,3.20
21,양의지,18두C,6.42,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,.358,.427,.585,1.013,.431,160.5,6.42,3.91
22,강백호,21K1B,6.35,142,627,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,.347,.450,.521,.971,.443,165.5,6.35,5.78
23,최정,19S3B,6.32,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,.292,.399,.519,.918,.411,148.9,6.32,3.85
24,샌즈,19키RF,6.16,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,.305,.396,.543,.939,.421,163.0,6.16,3.45
25,최정,21S3B,6.14,134,555,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12,.278,.410,.562,.972,.431,155.9,6.14,5.40
26,양의지,20NC,6.00,130,528,461,86,151,26,1,33,278,124,5,2,46,14,7,47,11,1,6,.328,.400,.603,1.003,.432,154.3,6.00,3.68
27,테임즈,16N1B,5.97,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,.321,.427,.679,1.106,.463,170.5,5.97,5.57
28,유한준,15넥RF,5.87,139,598,520,103,188,42,1,23,301,116,3,3,67,2,2,71,13,1,8,.362,.431,.579,1.009,.440,157.6,5.87,4.14
29,최정,16S3B,5.82,141,606,500,106,144,24,1,40,290,106,1,2,77,23,2,126,6,0,6,.288,.403,.580,.983,.425,140.7,5.82,3.24
30,나성범,17NRF,5.78,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,.347,.415,.584,1.000,.428,154.3,5.78,4.64
31,오지환,22LSS,5.77,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,.269,.357,.470,.827,.372,138.6,5.77,2.56
32,최형우,20KDH,5.75,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,.354,.433,.590,1.023,.450,169.3,5.75,7.20
33,김재환,16두LF,5.75,134,568,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,.325,.407,.628,1.035,.442,162.7,5.75,5.71
34,터커,20KRF,5.74,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,.306,.398,.557,.955,.420,149.6,5.74,2.40
35,양의지,21NDH,5.74,141,570,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10,.325,.414,.581,.995,.443,165.4,5.74,5.64
36,손아섭,17롯RF,5.73,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,.335,.420,.514,.934,.410,140.0,5.73,4.79
37,전준우,18롯LF,5.67,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,.342,.400,.592,.991,.421,146.3,5.67,5.45
38,로하스,18KCF,5.66,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,.305,.388,.590,.979,.410,138.5,5.66,5.41
39,양의지,15두C,5.65,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,.326,.405,.523,.928,.408,149.1,5.65,3.31
40,이정후,20키RF,5.56,140,617,544,85,181,49,5,15,285,101,12,2,59,4,6,47,16,2,8,.333,.397,.524,.921,.406,142.8,5.56,3.81
41,황재균,16롯3B,5.55,127,559,498,97,167,26,5,27,284,113,25,10,49,4,5,66,10,0,8,.335,.394,.570,.964,.417,137.3,5.55,4.03
42,김태균,16한DH,5.50,144,652,529,94,193,39,0,23,301,136,1,0,108,9,10,97,11,0,6,.365,.476,.569,1.045,.463,165.5,5.50,7.37
43,로하스,19KCF,5.49,142,576,520,68,167,29,3,24,274,104,4,4,48,3,5,120,4,0,5,.321,.379,.527,.905,.405,151.3,5.49,1.20
44,박병호,19키1B,5.46,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,.280,.399,.560,.959,.422,165.8,5.46,2.21
45,박석민,15삼3B,5.38,135,559,448,90,144,25,0,26,247,116,3,0,83,19,0,97,13,1,8,.321,.441,.551,.992,.437,156.8,5.38,5.77
46,김현수,20LLF,5.31,142,619,547,98,181,35,2,22,286,119,0,2,63,2,7,53,9,0,7,.331,.397,.523,.920,.407,148.4,5.31,5.17
47,손아섭,16롯RF,5.30,144,672,575,118,186,33,1,16,269,81,42,4,92,3,1,104,4,0,2,.323,.418,.468,.886,.406,131.0,5.30,6.03
48,손아섭,18롯RF,5.30,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,.329,.404,.546,.950,.409,138.6,5.30,4.35
49,러프,18삼1B,5.28,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,.330,.419,.605,1.024,.432,152.9,5.28,5.89
50,강민호,15롯C,5.23,123,456,380,63,118,18,1,35,243,86,0,0,60,14,2,112,14,0,2,.311,.421,.639,1.061,.451,164.9,5.23,4.59
51,로사리오,17한1B,5.20,119,510,445,100,151,30,1,37,294,111,10,5,50,10,4,61,12,0,5,.339,.414,.661,1.074,.450,165.3,5.20,3.91
52,나성범,20NDH,5.18,130,584,525,115,170,37,2,34,313,112,3,1,49,9,2,148,6,0,1,.324,.390,.596,.987,.430,153.5,5.18,4.30
53,최정,22S3B,5.15,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,.266,.386,.505,.891,.400,145.4,5.15,3.72
54,나성범,15NRF,5.14,144,622,564,112,184,34,5,28,312,135,23,4,32,15,1,127,9,3,8,.326,.373,.553,.926,.400,136.1,5.14,2.61
55,황재균,20K3B,5.13,134,600,541,108,169,35,5,21,277,97,11,6,47,5,0,98,12,3,4,.312,.370,.512,.882,.391,129.6,5.13,3.52
56,버나디나,17KCF,5.12,139,621,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,.320,.372,.540,.913,.390,128.4,5.12,3.83
57,페르난데스,19두DH,5.10,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,.344,.409,.483,.892,.408,154.7,5.10,3.32
58,구자욱,21삼RF,5.01,139,610,543,107,166,30,10,22,282,88,27,4,48,6,3,98,9,1,12,.306,.361,.519,.881,.394,134.0,5.01,3.48
59,강민호,16롯C,5.00,116,460,381,65,123,26,0,20,209,72,4,0,66,10,4,91,7,0,3,.323,.433,.549,.981,.434,147.7,5.00,5.06
60,구자욱,15삼1B,4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6,0,79,3,0,4,.349,.417,.534,.951,.422,148.4,4.99,1.81
61,안치홍,18K2B,4.98,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,.342,.392,.563,.954,.407,140.3,4.98,4.06
62,터크먼,22한CF,4.98,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,.289,.366,.430,.795,.365,126.8,4.98,0.80
63,소크라테스,22KCF,4.97,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,.311,.354,.494,.848,.380,137.0,4.97,0.61
64,이용규,15한CF,4.96,124,585,493,94,168,15,7,4,209,42,28,10,68,9,5,45,4,11,4,.341,.427,.424,.851,.386,119.6,4.96,2.61
65,김선빈,17KSS,4.96,137,529,476,84,176,34,1,5,227,64,4,4,39,5,4,40,10,5,4,.370,.420,.477,.897,.399,134.0,4.96,1.92
66,구자욱,17삼RF,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10,1,138,1,0,10,.310,.383,.527,.910,.394,130.6,4.96,3.11
67,최형우,18KLF,4.94,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,.339,.414,.549,.963,.411,143.4,4.94,5.70
68,김하성,15넥SS,4.94,140,582,511,89,148,35,5,19,250,73,22,4,56,5,2,115,10,4,6,.290,.362,.489,.851,.372,112.9,4.94,0.99
69,전준우,21롯LF,4.93,144,619,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8,.348,.405,.469,.874,.406,140.4,4.93,4.09
70,손아섭,20롯RF,4.93,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,.352,.415,.493,.907,.409,140.2,4.93,4.57
71,최정,20S3B,4.92,133,553,452,90,122,22,0,33,243,96,8,3,75,20,1,98,7,0,6,.270,.392,.538,.930,.409,138.8,4.92,4.52
72,정근우,15한2B,4.91,126,552,468,99,148,30,2,12,218,66,21,6,61,8,1,66,14,13,2,.316,.403,.466,.868,.384,119.2,4.91,4.05
73,알테어,21NCF,4.91,143,565,492,83,134,19,2,32,253,84,20,5,57,11,2,156,6,0,5,.272,.358,.514,.872,.393,132.0,4.91,2.11
74,김하성,17넥SS,4.91,141,601,526,90,159,36,3,23,270,114,16,8,58,8,2,65,8,2,7,.302,.376,.513,.889,.385,125.4,4.91,3.21
75,이정후,19키LF,4.88,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,.336,.386,.456,.842,.386,135.1,4.88,1.39
