선수,연도,팀,연봉,WAR
양현종,2018,KIA,"230,000",5.209
최형우,2018,KIA,"150,000",4.367
윤석민,2018,KIA,"125,000",0.026
이범호,2018,KIA,"65,000",2.622
나지완,2018,KIA,"60,000",2.458
김주찬,2018,KIA,"40,000",2.328
안치홍,2018,KIA,"32,000",4.382
김세현,2018,KIA,"29,000",-0.233
김선빈,2018,KIA,"28,000",1.527
이명기,2018,KIA,"25,000",2.406
서동욱,2018,KIA,"18,500",-0.143
김민식,2018,KIA,"15,000",0.941
김윤동,2018,KIA,"15,000",2.370
임기영,2018,KIA,"13,000",0.410
심동섭,2018,KIA,"13,000",0.043
홍건희,2018,KIA,"8,000",-0.229
정용운,2018,KIA,"7,500",0.061
김주형,2018,KIA,"7,500",-0.144
최원준,2018,KIA,"7,500",-0.099
한승택,2018,KIA,"7,500",0.493
유재신,2018,KIA,"6,500",0.238
한승혁,2018,KIA,"6,500",0.434
임기준,2018,KIA,"6,000",1.465
최정민,2018,KIA,"5,500",-0.364
백용환,2018,KIA,"5,300",0.083
유민상,2018,KIA,"4,500",0.288
박지훈,2018,KIA,"4,200",
오준혁,2018,KIA,"4,000",
박경태,2018,KIA,"4,000",0.020
박준태,2018,KIA,"3,800",0.070
홍재호,2018,KIA,"3,500",-0.134
이민우,2018,KIA,"3,500",-0.356
박정수,2018,KIA,"3,300",-0.425
이인행,2018,KIA,"3,200",-0.055
황윤호,2018,KIA,"3,100",-0.486
문경찬,2018,KIA,"3,100",0.965
이종석,2018,KIA,"3,000",
류승현,2018,KIA,"2,900",0.164
이진경,2018,KIA,"2,900",
신범수,2018,KIA,"2,900",-0.231
유승철,2018,KIA,"2,800",0.848
강이준,2018,KIA,"2,800",
황인준,2018,KIA,"2,800",0.678
김석환,2018,KIA,"2,800",-0.055
고영창,2018,KIA,"2,800",0.000
최승주,2018,KIA,"2,800",
강찬영,2018,KIA,"2,800",
송후섭,2018,KIA,"2,800",
차명진,2018,KIA,"2,800",
김유신,2018,KIA,"2,700",-0.238
하준영,2018,KIA,"2,700",-0.129
이원빈,2018,KIA,"2,700",
김승범,2018,KIA,"2,700",
오정환,2018,KIA,"2,700",
한준수,2018,KIA,"2,700",
백미카엘,2018,KIA,"2,700",
윤중현,2018,KIA,"2,700",
권유식,2018,KIA,0,
최병연,2018,KIA,0,
김성민,2018,KIA,0,
곽정철,2018,KIA,0,
팻딘,2018,KIA,0,0.719
헥터,2018,KIA,0,2.964
신종길,2018,KIA,0,
김다원,2018,KIA,0,
정윤환,2018,KIA,0,
정성훈,2018,KIA,0,0.718
손영민,2018,KIA,0,
박희주,2018,KIA,0,
윤희영,2018,KIA,0,
박효일,2018,KIA,0,
문장은,2018,KIA,0,
버나디나,2018,KIA,0,3.724
이영욱,2018,KIA,0,-0.262
이윤학,2018,KIA,0,
노관현,2018,KIA,0,
