순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,노시환,23한3B,6.93,131,595,514,85,153,30,1,31,278,101,2,1,74,4,5,118,13,0,3,.298,.388,.541,.929,.418,159.3,6.93,4.25
2,김혜성,23키2B,6.19,137,621,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,.335,.396,.446,.842,.392,142.1,6.19,2.50
3,최정,23S3B,5.78,128,552,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,.297,.388,.548,.936,.418,155.8,5.78,2.80
4,양의지,23두C,5.40,129,509,438,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,.306,.397,.475,.872,.399,151.9,5.40,0.59
5,오스틴,23L1B,5.22,139,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,.313,.376,.517,.893,.405,154.4,5.22,2.92
6,홍창기,23LRF,5.17,141,643,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,.332,.444,.412,.856,.407,152.0,5.17,4.72
7,구자욱,23삼RF,4.78,119,515,453,65,152,37,1,11,224,71,12,4,53,4,2,81,5,2,3,.336,.407,.494,.902,.414,153.2,4.78,3.58
8,소크라테스,23KCF,4.58,142,608,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,.285,.344,.463,.806,.366,125.7,4.58,1.92
9,손아섭,23NDH,4.39,140,609,551,97,187,36,3,5,244,65,14,3,50,2,2,67,10,1,5,.339,.393,.443,.836,.390,140.0,4.39,2.67
10,박건우,23NRF,4.25,130,533,458,70,146,34,2,12,220,85,7,5,56,9,0,71,14,1,9,.319,.397,.480,.877,.403,148.0,4.25,2.50
11,문보경,23L3B,4.13,131,542,469,77,141,29,5,10,210,72,9,9,58,2,2,83,5,9,4,.301,.377,.448,.825,.376,132.4,4.13,1.70
12,에레디아,23SLF,4.12,122,523,473,76,153,29,0,12,218,76,12,8,39,9,4,75,13,1,1,.323,.385,.461,.846,.391,140.7,4.12,3.78
13,박민우,23N2B,4.05,124,509,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,.316,.381,.405,.786,.366,124.2,4.05,1.52
14,정수빈,23두CF,3.89,137,583,498,75,143,14,11,2,185,33,39,8,64,7,1,63,2,12,2,.287,.375,.371,.746,.349,111.0,3.89,1.33
15,오지환,23LSS,3.89,126,502,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,.268,.372,.396,.767,.360,121.9,3.89,1.95
16,강민호,23삼C,3.80,125,495,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,.290,.366,.445,.811,.373,124.6,3.80,1.34
17,이정후,23키CF,3.70,86,387,330,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,.318,.406,.455,.860,.395,143.8,3.70,1.04
18,김도영,23K3B,3.70,84,385,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,.303,.371,.453,.824,.378,133.4,3.70,0.35
19,박찬호,23KSS,3.69,130,507,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,.301,.356,.378,.734,.342,108.4,3.69,1.25
20,나성범,23KRF,3.69,58,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,.365,.427,.671,1.098,.485,208.2,3.69,2.26
21,최형우,23KDH,3.68,121,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,.302,.400,.487,.887,.409,153.8,3.68,4.06
22,전준우,23롯DH,3.60,138,559,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,.312,.381,.471,.852,.391,140.8,3.60,2.65
23,마틴,23NCF,3.48,118,503,435,55,123,20,2,17,198,90,15,3,57,1,2,107,8,0,10,.283,.360,.455,.815,.373,126.5,3.48,1.00
24,박동원,23LC,3.41,130,481,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,.249,.334,.443,.777,.348,116.0,3.41,1.09
25,장성우,23KC,3.35,131,464,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,.288,.351,.422,.773,.356,114.6,3.35,0.19
26,알포드,23KLF,3.28,133,547,491,83,142,31,3,15,224,70,17,4,47,6,1,140,6,0,3,.289,.357,.456,.813,.375,126.9,3.28,0.61
27,황재균,23K3B,3.18,109,457,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,.295,.366,.413,.778,.363,119.2,3.18,1.89
28,로하스,23두LF,3.04,122,464,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,.253,.345,.474,.819,.372,134.3,3.04,1.21
29,문성주,23LLF,2.98,136,534,449,77,132,21,4,2,167,57,24,14,67,8,0,34,10,6,4,.294,.392,.372,.764,.363,122.3,2.98,0.59
30,안치홍,23롯2B,2.85,121,494,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,.292,.374,.400,.774,.360,119.1,2.85,1.97
31,최재훈,23한C,2.80,125,417,327,23,81,12,0,1,96,33,1,1,56,23,1,48,9,9,2,.248,.392,.294,.686,.338,104.7,2.80,0.28
32,박성한,23SSS,2.80,128,529,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,.266,.347,.366,.713,.334,101.8,2.80,1.53
33,양석환,23두1B,2.65,140,581,524,73,147,28,0,21,238,89,4,0,40,6,2,133,9,0,11,.281,.332,.454,.786,.358,124.1,2.65,1.64
34,채은성,23한1B,2.64,137,596,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,.263,.351,.428,.779,.358,118.6,2.64,2.17
35,이주형,23L키CF,2.60,69,243,215,32,70,13,4,6,109,36,3,1,19,5,2,53,4,2,2,.326,.390,.507,.897,.405,151.8,2.60,1.39
36,김선빈,23K2B,2.59,119,472,418,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,.321,.382,.359,.740,.351,113.0,2.59,1.24
37,김지찬,23삼2B,2.51,99,355,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,.292,.408,.330,.738,.358,116.8,2.51,0.30
38,피렐라,23삼LF,2.44,139,605,557,66,159,28,1,16,237,80,6,4,42,4,5,69,20,0,2,.285,.339,.425,.764,.352,110.8,2.44,0.03
39,도슨,23키CF,2.44,57,261,229,37,77,14,2,3,104,29,9,2,18,9,0,41,3,0,5,.336,.399,.454,.853,.397,145.3,2.44,1.23
40,박병호,23K1B,2.39,132,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,.283,.357,.443,.800,.368,122.7,2.39,2.79
41,유강남,23롯C,2.30,121,403,352,45,92,13,0,10,135,55,1,1,37,8,1,64,13,2,4,.261,.342,.384,.725,.339,106.1,2.30,0.65
42,김상수,23KSS,2.29,129,512,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,.271,.353,.339,.692,.329,96.0,2.29,-0.21
43,김휘집,23키SS,2.26,110,435,369,46,92,22,0,8,138,51,0,0,48,5,0,97,8,6,7,.249,.338,.374,.712,.331,101.9,2.26,-0.79
44,권희동,23NLF,2.16,96,373,309,33,88,16,0,7,125,63,2,0,49,6,0,50,4,4,5,.285,.388,.405,.792,.371,126.3,2.16,1.25
45,노진혁,23롯SS,2.15,113,390,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,.257,.347,.377,.724,.338,103.0,2.15,2.31
46,허경민,23두3B,2.08,130,475,429,44,114,22,1,7,159,48,9,3,35,6,3,26,6,0,5,.266,.326,.371,.697,.326,98.9,2.08,-0.83
47,최지훈,23SCF,2.03,117,503,462,65,124,19,8,2,165,30,21,2,29,3,0,50,3,8,1,.268,.315,.357,.672,.312,90.5,2.03,-1.13
48,하재훈,23SLF,2.02,77,229,201,35,61,10,1,7,94,35,11,0,19,5,1,53,0,2,2,.303,.374,.468,.842,.384,135.2,2.02,0.51
49,이우성,23KRF,1.99,126,400,355,39,107,17,0,8,148,58,8,1,31,5,4,81,10,6,3,.301,.363,.417,.780,.356,118.3,1.99,1.56
50,추신수,23SDH,1.96,112,462,382,65,96,17,1,12,151,40,6,4,65,13,1,79,8,0,2,.251,.377,.395,.772,.367,123.0,1.96,0.89
51,김주원,23NSS,1.96,127,474,403,56,94,9,2,10,137,54,15,3,44,15,1,106,6,8,4,.233,.328,.340,.668,.314,88.1,1.96,-0.27
52,이진영,23한RF,1.93,121,422,358,57,89,22,0,10,141,50,5,0,53,2,0,127,4,4,5,.249,.345,.394,.738,.343,108.8,1.93,1.58
53,박해민,23LCF,1.92,144,558,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,.285,.348,.359,.707,.323,95.7,1.92,-0.26
54,김민혁,23KRF,1.88,113,448,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,.297,.356,.385,.741,.344,106.9,1.88,0.91
55,이재현,23삼SS,1.85,143,538,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,.249,.330,.378,.707,.323,91.8,1.85,0.57
56,박승욱,23롯2B,1.83,123,338,290,37,83,18,3,0,107,30,15,4,35,1,0,87,5,11,1,.286,.364,.369,.733,.339,101.9,1.83,0.45
57,김재호,23두SS,1.83,91,302,248,32,70,13,0,3,92,29,4,0,30,8,2,24,11,14,2,.282,.375,.371,.746,.339,107.0,1.83,0.57
58,서호철,23N3B,1.78,114,435,397,50,114,17,3,5,152,41,4,5,20,8,0,51,9,6,4,.287,.331,.383,.714,.330,99.9,1.78,0.15
59,배정대,23KCF,1.77,97,361,311,48,86,16,0,2,108,38,13,3,38,3,1,76,2,4,5,.277,.356,.347,.703,.332,98.0,1.77,1.15
60,김현수,23LDH,1.69,133,556,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,.293,.364,.383,.747,.350,114.1,1.69,1.61
61,이창진,23KLF,1.66,104,284,244,35,66,11,3,4,95,29,9,2,34,2,1,44,6,2,2,.270,.362,.389,.751,.351,115.0,1.66,-0.32
62,강승호,23두2B,1.66,127,458,418,51,111,18,6,7,162,59,13,6,27,6,0,109,12,4,3,.266,.317,.388,.705,.326,97.9,1.66,0.63
63,최주환,23S2B,1.62,134,478,426,48,100,24,0,20,184,63,0,0,43,5,4,94,6,1,3,.235,.310,.432,.742,.337,101.4,1.62,1.60
64,김성윤,23삼RF,1.61,101,272,245,40,77,4,6,2,99,28,20,4,14,4,0,35,2,4,5,.314,.355,.404,.759,.349,109.7,1.61,0.82
65,한유섬,23SRF,1.59,109,388,333,29,91,15,2,7,131,55,2,1,34,12,1,81,3,2,7,.273,.355,.393,.748,.349,112.5,1.59,1.14
66,문현빈,23한CF,1.55,137,481,428,47,114,22,2,5,155,49,5,1,33,6,2,84,7,9,5,.266,.324,.362,.686,.316,90.8,1.55,-0.21
67,류지혁,23K삼3B,1.38,132,522,455,63,122,11,1,2,141,45,26,2,46,6,1,73,12,10,5,.268,.340,.310,.650,.309,84.4,1.38,-1.92
68,도태훈,23N3B,1.36,117,302,239,41,56,6,0,5,77,23,2,1,38,17,1,48,8,7,1,.234,.376,.322,.698,.337,103.4,1.36,-0.31
69,러셀,23키SS,1.36,59,239,220,20,63,11,1,4,88,42,1,0,17,1,1,39,5,0,1,.286,.339,.400,.739,.345,110.6,1.36,1.45
70,송성문,23키3B,1.33,104,438,388,43,102,16,3,5,139,60,1,0,39,0,5,38,9,4,7,.263,.325,.358,.683,.314,89.2,1.33,-0.21
71,구드럼,23롯3B,1.33,50,201,173,16,51,14,1,0,67,28,0,0,23,1,1,46,6,0,4,.295,.373,.387,.760,.357,114.6,1.33,0.06
72,정훈,23롯1B,1.30,80,233,201,40,56,14,0,6,88,31,2,0,26,0,1,39,4,4,2,.279,.358,.438,.796,.361,120.4,1.30,0.48
73,김현준,23삼CF,1.26,109,479,433,62,119,10,6,3,150,46,5,5,30,5,0,84,5,8,3,.275,.327,.346,.673,.315,87.1,1.26,0.31
74,김민성,23L2B,1.21,112,316,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,.249,.326,.377,.703,.322,96.9,1.21,-1.44
75,정보근,23롯C,1.19,55,101,81,11,27,6,1,1,38,13,1,0,14,1,0,13,2,4,1,.333,.433,.469,.902,.405,147.4,1.19,0.47
76,김민석,23롯CF,1.01,129,454,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,.255,.315,.338,.652,.301,77.7,1.01,-2.04
77,최인호,23한LF,1.00,41,148,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,.298,.363,.427,.791,.364,124.5,1.00,0.33
78,윤동희,23롯RF,0.95,107,423,387,45,111,18,1,2,137,41,3,6,28,1,0,69,10,2,5,.287,.333,.354,.687,.324,93.0,0.95,-1.05
79,김성현,23S2B,0.95,112,354,310,35,83,14,0,1,100,27,4,1,29,0,1,36,6,13,2,.268,.328,.323,.651,.300,81.0,0.95,-0.94
80,박세혁,23NC,0.92,88,283,242,35,51,9,3,6,84,32,1,1,30,4,0,43,3,6,1,.211,.307,.347,.654,.304,80.2,0.92,-1.37
81,고종욱,23KLF,0.91,114,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,.296,.329,.393,.721,.337,104.3,0.91,0.48
82,임지열,23키1B,0.85,72,246,212,22,55,8,0,5,78,35,1,0,28,3,0,64,3,2,1,.259,.353,.368,.720,.341,109.5,0.85,0.93
83,정은원,23한2B,0.84,122,459,388,50,86,12,0,2,104,30,6,3,62,3,1,73,4,5,1,.222,.333,.268,.601,.296,76.8,0.84,-1.30
84,김재환,23두DH,0.83,132,484,405,40,89,15,0,10,134,46,3,1,72,5,4,100,8,0,2,.220,.343,.331,.674,.324,98.4,0.83,1.41
85,이도윤,23한SS,0.82,106,346,309,36,78,13,2,1,98,13,11,3,18,4,1,55,6,15,0,.252,.302,.317,.619,.282,68.1,0.82,-1.72
86,이호연,23K2B,0.79,85,234,212,28,59,5,1,3,75,17,4,2,16,4,0,41,6,1,1,.278,.339,.354,.693,.329,96.5,0.79,0.78
87,강백호,23KDH,0.76,71,271,238,32,63,10,1,8,99,39,3,0,31,0,4,55,1,0,2,.265,.347,.416,.763,.350,110.7,0.76,-0.53
88,김태연,23한RF,0.75,91,280,245,25,64,13,0,4,89,26,5,1,27,3,1,59,3,1,4,.261,.337,.363,.700,.329,99.2,0.75,0.03
89,김동헌,23키C,0.74,102,242,211,22,51,5,2,2,66,17,0,0,17,8,0,55,7,3,3,.242,.318,.313,.631,.301,80.4,0.74,-1.18
90,안권수,23롯LF,0.74,95,309,268,42,72,6,1,2,86,29,16,7,30,1,1,40,4,7,3,.269,.341,.321,.662,.311,85.3,0.74,-0.29
91,박수종,23키RF,0.73,23,50,45,7,19,1,2,0,24,3,0,0,3,1,0,6,1,0,1,.422,.460,.533,.993,.458,184.6,0.73,0.20
92,김형준,23NC,0.71,26,82,72,10,17,2,0,6,37,13,0,0,8,1,0,24,3,1,0,.236,.321,.514,.835,.371,123.1,0.71,0.17
93,최원준,23K1B,0.69,67,274,238,37,60,11,2,1,78,23,13,5,31,0,0,39,5,5,0,.252,.338,.328,.666,.316,90.2,0.69,0.53
94,신민재,23L2B,0.68,122,331,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,.277,.344,.309,.653,.301,79.3,0.68,0.95
95,김성욱,23NLF,0.60,93,204,179,28,40,10,0,6,68,16,6,1,16,5,0,63,7,3,1,.223,.304,.380,.683,.315,87.5,0.60,-0.52
96,한준수,23KC,0.49,48,94,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,.256,.312,.372,.684,.318,92.2,0.49,-0.43
97,박준영,23두3B,0.48,51,138,127,16,28,7,2,4,51,17,2,1,9,2,1,53,0,0,0,.220,.283,.402,.684,.312,90.5,0.48,0.76
98,임병욱,23키RF,0.47,80,223,208,30,54,11,1,6,85,36,4,0,10,1,0,75,1,1,3,.260,.293,.409,.701,.320,95.5,0.47,-0.59
99,오선진,23한SS,0.46,90,199,165,17,38,6,0,0,44,15,2,0,24,5,0,34,7,3,2,.230,.342,.267,.609,.301,79.8,0.46,-0.29
100,이유찬,23두2B,0.45,103,239,210,31,51,7,2,1,65,16,12,5,20,3,0,51,0,5,1,.243,.316,.310,.626,.296,76.1,0.45,-0.58
101,변우혁,23K1B,0.45,83,226,200,23,45,4,0,7,70,24,0,0,23,3,1,74,4,0,0,.225,.314,.350,.664,.315,90.8,0.45,-0.10
102,오윤석,23K1B,0.44,82,223,199,24,50,13,1,4,77,17,3,1,13,5,1,44,7,6,0,.251,.313,.387,.700,.317,88.7,0.44,-0.72
103,오태곤,23S1B,0.43,123,305,272,37,65,14,1,7,102,28,20,1,18,4,0,67,6,8,3,.239,.293,.375,.668,.302,80.4,0.43,-0.38
104,김민식,23SC,0.43,122,318,266,28,58,9,1,5,84,34,0,0,31,2,1,57,6,17,2,.218,.302,.316,.618,.279,65.1,0.43,-1.23
105,이정훈,23롯DH,0.43,59,171,152,17,45,7,0,1,55,17,1,1,13,3,0,28,1,0,3,.296,.357,.362,.719,.342,105.6,0.43,0.14
106,이지영,23키C,0.40,81,237,217,23,54,8,1,0,64,8,1,1,12,1,0,39,2,7,0,.249,.291,.295,.586,.273,61.1,0.40,-1.87
107,김준태,23KC,0.37,69,136,115,10,24,4,0,3,37,23,1,0,19,1,0,32,3,1,0,.209,.326,.322,.648,.312,85.2,0.37,-0.43
