이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
테임즈,10.71,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,0.381,0.498,0.79,1.288,0.53,222.3,7.02,NC,2015,1B,0.0
이정후,9.23,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,0.441,182.5,6.72,키움,2022,CF,75000.0
박병호,7.76,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,0.343,0.436,0.714,1.15,0.481,181.9,7.82,키움,2015,1B,
로하스,7.76,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,0.349,0.417,0.68,1.097,0.467,180.5,7.29,,2020,RF,
최형우,7.75,138,618,519,99,195,46,2,31,338,144,2,2,83,9,8,83,12,0,7,0.376,0.464,0.651,1.116,0.48,177.8,5.5,삼성,2016,LF,
김재환,7.46,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,0.34,0.429,0.603,1.032,0.44,170.9,7.45,두산,2017,LF,47000.0
피렐라,7.4,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,0.342,0.411,0.565,0.976,0.434,169.3,4.2,삼성,2022,LF,60000.0
김하성,7.17,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,0.307,0.389,0.491,0.88,0.397,145.7,4.52,키움,2019,SS,32000.0
박건우,7.01,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,0.366,0.424,0.582,1.006,0.433,163.8,2.76,두산,2017,CF,37000.0
홍창기,6.98,144,651,524,103,172,26,2,4,214,52,23,8,110,15,4,95,6,0,2,0.328,0.456,0.408,0.865,0.417,152.6,4.47,LG,2021,CF,32000.0
김재환,6.94,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,0.334,0.405,0.657,1.062,0.438,168.8,5.8,두산,2018,LF,
김하성,6.83,138,622,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,0.306,0.397,0.523,0.921,0.407,147.0,4.22,키움,2020,SS,
이정후,6.73,123,544,464,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,0.36,0.438,0.522,0.959,0.441,165.2,3.17,키움,2021,CF,75000.0
김현수,6.7,141,630,512,103,167,26,0,28,277,121,11,5,101,8,12,63,13,0,9,0.326,0.438,0.541,0.979,0.427,163.2,6.29,두산,2015,LF,
양의지,6.69,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,0.354,0.438,0.574,1.012,0.452,179.8,1.88,NC,2019,C,200000.0
최형우,6.66,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,0.342,0.45,0.576,1.026,0.442,163.5,5.45,KIA,2017,LF,150000.0
박병호,6.62,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,0.345,0.457,0.718,1.175,0.478,190.9,6.44,키움,2018,1B,
최정,6.56,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,0.316,0.427,0.684,1.111,0.456,167.6,5.0,SSG,2017,3B,120000.0
나성범,6.5,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.32,0.402,0.508,0.91,0.411,157.4,3.74,KIA,2022,RF,200000.0
나바로,6.45,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,0.287,0.393,0.596,0.988,0.416,143.1,3.2,삼성,2015,2B,
양의지,6.42,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,0.358,0.427,0.585,1.013,0.431,160.5,3.91,두산,2018,C,
강백호,6.35,142,627,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,0.347,0.45,0.521,0.971,0.443,165.5,5.78,kt,2021,1B,55000.0
최정,6.32,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,0.292,0.399,0.519,0.918,0.411,148.9,3.85,SSG,2019,3B,120000.0
샌즈,6.16,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,0.305,0.396,0.543,0.939,0.421,163.0,3.45,키움,2019,RF,
최정,6.14,134,555,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12,0.278,0.41,0.562,0.972,0.431,155.9,5.4,SSG,2021,3B,
양의지,6.0,130,528,461,86,151,26,1,33,278,124,5,2,46,14,7,47,11,1,6,0.328,0.4,0.603,1.003,0.432,154.3,3.68,NC,2020,C,200000.0
테임즈,5.97,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,0.321,0.427,0.679,1.106,0.463,170.5,5.57,NC,2016,1B,
유한준,5.87,139,598,520,103,188,42,1,23,301,116,3,3,67,2,2,71,13,1,8,0.362,0.431,0.579,1.009,0.44,157.6,4.14,키움,2015,RF,
최정,5.82,141,606,500,106,144,24,1,40,290,106,1,2,77,23,2,126,6,0,6,0.288,0.403,0.58,0.983,0.425,140.7,3.24,SSG,2016,3B,120000.0
나성범,5.78,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,0.347,0.415,0.584,1.0,0.428,154.3,4.64,NC,2017,RF,43000.0
오지환,5.77,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.372,138.6,2.56,LG,2022,SS,60000.0
최형우,5.75,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.59,1.023,0.45,169.3,7.2,KIA,2020,DH,150000.0
김재환,5.75,134,568,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,0.325,0.407,0.628,1.035,0.442,162.7,5.71,두산,2016,LF,20000.0
양의지,5.74,141,570,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10,0.325,0.414,0.581,0.995,0.443,165.4,5.64,NC,2021,DH,100000.0
터커,5.74,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,0.42,149.6,2.4,KIA,2020,RF,70000.0
손아섭,5.73,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,0.335,0.42,0.514,0.934,0.41,140.0,4.79,롯데,2017,RF,150000.0
전준우,5.67,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,0.342,0.4,0.592,0.991,0.421,146.3,5.45,롯데,2018,LF,
로하스,5.66,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,0.305,0.388,0.59,0.979,0.41,138.5,5.41,,2018,CF,
