이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,소속팀,연도,연봉
알칸타라,8.31,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,2.54,3.1,1.03,182.6,149.7,4.35,두산,2020,
양현종,8.14,32,1,1,31,15,6,0,1,184.1,52,50,756,150,27,2,18,78,0,7,157,0,6,2.44,4.57,1.24,202.1,108.5,3.94,KIA,2015,75000.0
안우진,7.92,30,1,0,30,15,8,0,0,196.0,51,46,766,131,36,4,4,55,1,4,224,1,7,2.11,2.21,0.95,189.3,179.1,5.65,키움,2022,15000.0
스트레일리,7.53,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.5,3.01,1.02,195.1,159.0,3.84,롯데,2020,90000.0
스트레일리,7.53,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.5,3.01,1.02,195.1,159.0,3.84,롯데,2020,50000.0
양현종,7.35,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,2.63,1.07,183.1,160.3,3.81,KIA,2019,230000.0
브룩스,7.16,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.5,2.72,1.02,192.2,177.8,3.39,KIA,2020,100000.0
미란다,7.09,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,2.67,1.14,185.0,161.1,3.27,두산,2021,160000.0
린드블럼,6.86,30,0,0,30,20,3,0,0,194.2,57,54,773,165,22,3,13,29,0,6,189,0,7,2.5,2.87,1.0,164.4,141.5,4.44,두산,2019,
린드블럼,6.81,26,0,0,26,15,4,0,0,168.2,56,54,681,142,33,2,16,38,0,8,157,0,10,2.88,4.02,1.07,175.4,125.2,2.06,두산,2018,170000.0
헥터,6.64,31,3,1,31,15,5,0,0,206.2,88,78,868,211,34,3,7,51,0,6,139,0,7,3.4,3.72,1.27,152.5,140.6,1.87,KIA,2016,170000.0
린드블럼,6.48,32,2,1,32,13,11,0,0,210.0,86,83,861,196,32,3,28,52,0,12,180,0,12,3.56,4.55,1.18,141.7,108.6,1.95,롯데,2015,120000.0
김광현,6.39,31,0,0,30,17,6,0,0,190.1,64,53,786,198,17,0,13,38,1,2,180,0,8,2.51,3.01,1.24,169.8,142.2,3.28,SSG,2019,
윌슨,6.31,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23,3,11,35,1,6,149,1,10,3.07,3.63,1.14,164.3,139.4,2.72,LG,2018,
김광현,6.1,28,0,0,28,13,3,0,0,173.1,48,41,694,141,16,2,10,45,2,5,153,0,1,2.13,3.15,1.07,195.5,132.7,3.63,SSG,2022,
니퍼트,5.97,28,1,1,27,22,3,0,0,167.2,61,55,701,151,19,3,15,57,0,9,142,0,8,2.95,4.44,1.24,173.1,113.2,2.69,두산,2016,210000.0
켈리,5.95,31,0,0,31,9,8,0,0,200.1,91,82,846,205,35,3,15,60,0,7,152,2,8,3.68,4.25,1.32,141.7,122.9,1.32,SSG,2016,85000.0
산체스,5.93,28,0,0,28,17,5,0,0,165.0,51,48,671,151,18,2,2,42,0,2,148,2,11,2.62,2.57,1.17,162.5,163.8,3.64,SSG,2019,
헥터,5.8,30,1,0,30,20,5,0,0,201.2,83,78,854,221,36,4,21,45,1,5,149,0,7,3.48,4.34,1.32,142.7,115.0,1.34,KIA,2017,0.0
브리검,5.78,31,2,1,30,11,7,0,1,199.0,89,85,829,188,28,3,19,50,0,19,175,0,4,3.84,4.36,1.2,134.1,117.4,0.2,키움,2018,
양현종,5.69,31,3,0,31,10,12,0,0,200.1,96,82,850,191,31,2,19,77,0,2,146,2,6,3.68,4.75,1.34,140.6,109.9,0.23,KIA,2016,150000.0
요키시,5.68,30,0,0,30,10,8,0,0,185.1,61,53,746,169,31,3,8,33,0,5,154,0,2,2.57,2.85,1.09,155.4,138.8,3.57,키움,2022,90000.0
장원준,5.67,27,0,0,27,15,6,0,0,168.0,66,62,727,161,23,6,14,76,0,9,137,0,8,3.32,4.76,1.41,153.9,105.9,1.29,두산,2016,100000.0
해커,5.64,31,1,0,31,19,5,0,0,204.0,81,71,833,174,34,0,14,36,1,25,164,0,6,3.13,3.78,1.03,152.9,129.0,3.14,NC,2015,60000.0
루친스키,5.59,30,0,0,30,19,5,0,0,183.0,67,62,770,173,12,3,14,57,0,11,167,0,11,3.05,3.84,1.26,160.2,125.8,3.04,NC,2020,100000.0
요키시,5.53,27,0,0,27,12,7,0,0,159.2,53,38,640,144,26,3,6,25,0,6,115,1,3,2.14,3.19,1.06,220.3,147.3,3.2,키움,2020,55000.0
장원준,5.41,29,1,1,29,14,9,0,0,180.1,70,63,760,172,26,2,12,51,2,14,125,0,3,3.14,4.26,1.24,153.1,114.0,1.41,두산,2017,100000.0
백정현,5.28,27,0,0,27,14,5,0,0,157.2,54,46,648,142,25,1,15,54,2,2,109,0,5,2.63,4.21,1.24,171.9,107.3,1.78,삼성,2021,80000.0
수아레즈,5.28,30,0,0,29,6,8,0,0,173.2,61,48,714,151,19,0,7,50,0,4,159,0,6,2.49,2.96,1.16,167.8,138.0,2.7,삼성,2022,70000.0
김광현,5.26,25,0,0,25,11,8,0,0,136.0,48,45,554,125,16,2,16,30,0,2,130,0,3,2.98,4.16,1.14,176.5,127.4,1.91,SSG,2018,
피어밴드,5.26,26,1,1,26,8,10,0,0,160.0,67,54,657,153,19,4,20,31,0,7,132,0,4,3.04,4.42,1.15,166.9,112.8,1.0,kt,2017,0.0
고영표,5.23,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,3.19,1.04,154.0,139.2,2.27,kt,2021,30000.0
양현종,5.21,29,3,0,29,13,11,0,0,184.1,88,85,772,199,33,0,21,43,1,2,152,0,5,4.15,4.38,1.31,123.7,117.9,-1.06,,2018,
폰트,5.19,28,1,0,28,13,6,0,0,184.0,63,55,729,141,22,3,18,34,1,6,170,0,5,2.69,3.4,0.95,154.7,124.1,2.91,SSG,2022,
켈리,5.19,27,0,0,27,16,4,0,0,166.1,50,47,664,144,10,4,10,35,0,2,153,0,3,2.54,2.95,1.08,156.3,134.7,3.45,LG,2022,90000.0
밴헤켄,5.12,32,0,0,32,15,8,0,0,196.2,92,79,825,190,36,3,14,67,1,1,193,0,16,3.62,3.6,1.31,137.7,137.6,0.54,키움,2015,65000.0
신재영,5.08,30,0,0,30,15,7,0,0,168.2,76,73,718,192,35,6,19,21,0,11,99,1,2,3.9,4.65,1.26,134.8,111.3,1.09,키움,2016,11000.0
켈리,5.06,30,0,0,30,16,7,0,0,190.0,85,76,815,204,38,3,16,45,2,11,189,1,9,3.6,3.69,1.31,139.8,136.9,1.6,SSG,2017,
레일리,5.03,30,1,0,30,13,7,0,0,187.1,87,79,798,199,39,2,19,44,0,17,156,1,3,3.8,4.37,1.3,132.7,115.2,1.25,롯데,2017,111000.0
허프,4.96,19,2,0,17,6,4,0,0,124.2,37,33,490,100,20,2,7,14,0,2,98,0,2,2.38,3.28,0.91,203.3,148.5,2.93,LG,2017,
켈리,4.96,30,0,0,30,13,8,0,0,177.0,64,62,744,160,25,0,12,60,3,11,142,1,7,3.15,3.76,1.24,136.8,115.1,1.61,LG,2021,90000.0
