이름,연도,소속팀,연봉
강경학,2016,한화,6500
강구성,2016,NC,2700
강동관,2016,롯데,2700
강동수,2016,롯데,2900
강동연,2016,두산,2800
강민국,2016,NC,2700
강민호,2016,롯데,100000
강병의,2016,LG,3000
강상원,2016,한화,2700
강승현,2016,롯데,2900
강승호,2016,LG,2700
강승훈,2016,kt,2700
강영식,2016,롯데,30000
강윤구,2016,키움,10500
강장산,2016,NC,3000
강지광,2016,키움,2700
강한울,2016,KIA,6000
고동진,2016,한화,0
고메즈,2016,SSG,0
고봉재,2016,두산,2700
고영민,2016,두산,0
고영우,2016,KIA,6000
고영표,2016,kt,4400
고원준,2016,두산,6800
고종욱,2016,키움,7700
고창성,2016,NC,5000
고효준,2016,KIA,8000
곽정철,2016,KIA,5500
구본범,2016,한화,0
구승민,2016,롯데,2900
구자욱,2016,삼성,8000
구준범,2016,삼성,2800
구창모,2016,NC,2700
국해성,2016,두산,3000
권오준,2016,삼성,7000
권용관,2016,한화,0
권용우,2016,한화,2700
권정웅,2016,삼성,2700
권혁,2016,한화,45000
권희동,2016,NC,5100
금민철,2016,키움,7900
길태곤,2016,한화,0
김강,2016,kt,0
김강률,2016,두산,6200
김강민,2016,SSG,60000
김건한,2016,삼성,0
김경언,2016,한화,20000
김경태,2016,한화,3000
김광삼,2016,LG,0
김광수,2016,KIA,10000
김광현,2016,SSG,85000
김규민,2016,키움,2700
김규성,2016,KIA,2700
김기연,2016,LG,2700
김기태,2016,삼성,4000
김기현,2016,SSG,0
김기현,2016,한화,0
김기환,2016,삼성,2700
김남길,2016,롯데,2700
김다원,2016,KIA,7000
김단우,2016,LG,2700
김대륙,2016,롯데,3200
김대우,2016,삼성,11000
김대우,2016,롯데,3800
김대유,2016,SSG,2700
김도영,2016,kt,2700
김동명,2016,kt,4000
김동엽,2016,SSG,2700
김동준,2016,키움,3000
김동한,2016,롯데,3200
김동호,2016,삼성,2700
김만수,2016,kt,2900
김명성,2016,두산,0
김명찬,2016,KIA,2900
김문호,2016,롯데,7000
김민성,2016,키움,22000
김민수,2016,kt,3200
김민식,2016,SSG,3000
김민우,2016,KIA,0
김민우,2016,한화,3800
김민재,2016,SSG,2700
김민준,2016,키움,2700
김민하,2016,롯데,4000
김범수,2016,한화,3200
김병근,2016,한화,2700
김병현,2016,KIA,15000
김사연,2016,kt,4500
김사윤,2016,SSG,2700
김사율,2016,kt,20000
김사훈,2016,롯데,2900
김상수,2016,삼성,31000
김상수,2016,키움,6000
김상현,2016,kt,0
김상호,2016,롯데,2800
김선규,2016,NC,6000
김선민,2016,kt,3200
김선빈,2016,KIA,13000
김성배,2016,두산,18000
김성욱,2016,NC,5500
김성재,2016,롯데,2700
김성택,2016,키움,2700
김성표,2016,삼성,2800
김성한,2016,삼성,2700
김성현,2016,SSG,18000
김성현,2016,키움,2700
김성호,2016,롯데,2700
김성훈,2016,삼성,2700
김세현,2016,키움,16000
김수산,2016,키움,2700
김승현,2016,삼성,2700
김승회,2016,SSG,22000
김연훈,2016,kt,4700
김영일,2016,롯데,2700
김영환,2016,kt,3700
김용의,2016,LG,6000
김용주,2016,한화,3000
김웅빈,2016,키움,2700
김원석,2016,한화,3000
김원섭,2016,KIA,15000
김원중,2016,롯데,3600
김유영,2016,롯데,2800
김윤동,2016,KIA,2700
김윤환,2016,키움,2700
김융,2016,삼성,2700
김응민,2016,삼성,2800
김응수,2016,키움,0
김인태,2016,두산,2800
김인환,2016,한화,2700
김재성,2016,LG,2700
김재영,2016,한화,2700
김재유,2016,롯데,2900
김재유,2016,롯데,2900
김재윤,2016,kt,7200
김재율,2016,LG,2900
김재현,2016,SSG,4000
김재현,2016,키움,4400
김재호,2016,두산,41000
김재환,2016,두산,5000
김정인,2016,키움,3000
김정혁,2016,삼성,3300
김정훈,2016,키움,3400
김종민,2016,kt,3800
김종호,2016,NC,17500
김주성,2016,LG,2700
김주원,2016,kt,0
김주찬,2016,KIA,50000
김주한,2016,SSG,2700
김주현,2016,롯데,3300
김주현,2016,한화,2700
김주형,2016,KIA,5500
김준,2016,KIA,0
김준완,2016,NC,3000
김준태,2016,롯데,3000
김준현,2016,NC,2700
김지성,2016,LG,3800
김지수,2016,한화,2700
김지수,2016,키움,5500
김지용,2016,LG,4000
김지훈,2016,KIA,0
김진곤,2016,kt,3500
김진성,2016,NC,15000
김진우,2016,KIA,12000
김진형,2016,두산,3000
김찬균,2016,한화,2700
김찬형,2016,NC,2700
김찬호,2016,SSG,2700
김창혁,2016,LG,2700
김태군,2016,NC,21000
김태균,2016,한화,160000
김태연,2016,한화,2700
김태영,2016,KIA,0
김태영,2016,LG,2700
김태오,2016,kt,2700
김태완,2016,삼성,0
김태완,2016,한화,8000
김태진,2016,NC,3000
김태훈,2016,kt,3000
김택형,2016,키움,4400
김하성,2016,키움,16000
김학성,2016,NC,0
김한별,2016,키움,2700
김해수,2016,키움,2700
김현우,2016,삼성,4500
김현준,2016,KIA,2700
김호령,2016,KIA,6000
김호은,2016,LG,2700
김호준,2016,롯데,2700
김회성,2016,한화,5500
나경민,2016,롯데,2700
나규호,2016,LG,2400
나성범,2016,NC,30000
나성용,2016,삼성,3700
나주환,2016,SSG,20000
나지완,2016,KIA,20000
남경호,2016,두산,3000
남기효,2016,삼성,0
남재현,2016,KIA,2700
남태혁,2016,kt,2700
노건우,2016,NC,5500
노경은,2016,롯데,20000
노관현,2016,SSG,2700
노수광,2016,KIA,3000
노유성,2016,두산,0
노진용,2016,삼성,0
노진혁,2016,NC,4300
니퍼트,2016,두산,120000
대니돈,2016,키움,60000
도태훈,2016,NC,2700
라라,2016,SSG,0
레온,2016,삼성,0
레일리,2016,롯데,63000
로사리오,2016,한화,100000
로위,2016,kt,0
로저스,2016,한화,170000
류승현,2016,KIA,2700
류제국,2016,LG,18000
류지혁,2016,두산,3000
류진욱,2016,NC,2700
류희운,2016,kt,2700
린드블럼,2016,롯데,120000
마르테,2016,kt,0
마리몬,2016,kt,0
마에스트리,2016,한화,20000
마정길,2016,키움,20000
맥그레거,2016,키움,0
맥스웰,2016,롯데,0
모상기,2016,kt,0
모창민,2016,NC,12500
문경찬,2016,KIA,2700
문광은,2016,SSG,6000
문규현,2016,롯데,3000
문석종,2016,NC,2700
문선엽,2016,삼성,2800
문선재,2016,LG,6500
문성현,2016,키움,11000
문승원,2016,SSG,2900
문우람,2016,키움,0
문재현,2016,한화,2700
문진제,2016,두산,2700
민병헌,2016,두산,35000
민성기,2016,NC,3300
박건우,2016,두산,7000
박경수,2016,kt,23000
박계범,2016,삼성,2900
박광열,2016,NC,3000
박근홍,2016,삼성,11000
박기혁,2016,kt,15000
박노민,2016,한화,0
박동민,2016,KIA,2700
박동원,2016,키움,14000
박민규,2016,삼성,2700
박민석,2016,NC,2700
박민우,2016,NC,19000
박민호,2016,SSG,4000
박상언,2016,한화,2700
박상옥,2016,KIA,2800
박상원,2016,삼성,0
박석민,2016,NC,75000
박성민,2016,두산,0
박성준,2016,LG,3000
박성호,2016,한화,0
박세웅,2016,SSG,2700
박세웅,2016,롯데,5600
박세웅,2016,NC,2700
박세진,2016,kt,2700
박세혁,2016,두산,3000
박승욱,2016,SSG,2700
박시영,2016,롯데,2700
박용근,2016,kt,4000
박용택,2016,LG,80000
박윤,2016,키움,4000
박재상,2016,SSG,20000
박재욱,2016,LG,2700
박정권,2016,SSG,40000
박정배,2016,SSG,8000
박정수,2016,KIA,2700
박정음,2016,키움,2700
박정진,2016,한화,30000
박정현,2016,롯데,0
박제윤,2016,삼성,0
박종무,2016,롯데,2700
박종욱,2016,SSG,2700
박종윤,2016,롯데,16000
박종윤,2016,키움,2700
박종훈,2016,SSG,7000
박주현,2016,키움,2700
박준영,2016,NC,2700
박준태,2016,KIA,3400
박준혁,2016,한화,2400
박지규,2016,LG,2700
박진두,2016,KIA,2800
박진우,2016,NC,3200
박진형,2016,롯데,2800
박찬도,2016,삼성,3100
박찬호,2016,KIA,3700
박한결,2016,한화,2700
박한길,2016,롯데,3000
박한이,2016,삼성,45000
박해민,2016,삼성,15000
박헌도,2016,롯데,8000
박희수,2016,SSG,14000
발디리스,2016,삼성,0
방윤준,2016,한화,0
배민관,2016,LG,2700
배영섭,2016,삼성,16000
배영수,2016,한화,55000
배우열,2016,kt,3600
배장호,2016,롯데,4600
배재준,2016,LG,2700
배재환,2016,NC,2700
배정대,2016,kt,3500
배제성,2016,롯데,2700
배진호,2016,삼성,0
배힘찬,2016,KIA,3300
백상원,2016,삼성,4500
백세웅,2016,KIA,2800
백왕중,2016,롯데,0
백용환,2016,KIA,6000
백인식,2016,SSG,3800
백재엽,2016,KIA,0
백정현,2016,삼성,15000
백창수,2016,LG,4000
밴와트,2016,kt,0
밴헤켄,2016,키움,65000
벨레스터,2016,삼성,0
변진수,2016,두산,7300
보우덴,2016,두산,65000
봉중근,2016,LG,30000
서건창,2016,키움,26000
서덕원,2016,KIA,2700
서동욱,2016,KIA,5800
서동환,2016,삼성,0
서상우,2016,LG,6000
서예일,2016,두산,2700
서의태,2016,kt,2700
서진용,2016,SSG,3000
서캠프,2016,한화,0
성영훈,2016,두산,2700
성의준,2016,삼성,3000
세든,2016,SSG,0
소사,2016,LG,50000
손승락,2016,롯데,70000
손시헌,2016,NC,40000
손아섭,2016,롯데,60000
손용석,2016,롯데,3400
손정욱,2016,NC,5600
손주인,2016,LG,12000
송광민,2016,한화,10000
송민섭,2016,kt,2700
송성문,2016,키움,3000
송승준,2016,롯데,40000
송신영,2016,한화,19000
송우현,2016,키움,2700
송은범,2016,한화,45000
송주호,2016,한화,0
송창식,2016,한화,16000
송창현,2016,한화,3100
스튜어트,2016,NC,0
신명수,2016,키움,0
신민재,2016,LG,0
신범수,2016,KIA,2700
신본기,2016,롯데,5500
신성현,2016,한화,3700
신승현,2016,LG,6000
신용운,2016,삼성,5500
신재영,2016,키움,2700
신재웅,2016,SSG,16500
신종길,2016,KIA,12000
신창호,2016,KIA,0
신창희,2016,두산,2700
신현철,2016,kt,3000
심규범,2016,NC,2900
심동섭,2016,KIA,14000
심수창,2016,한화,25000
심우준,2016,kt,3500
심재민,2016,kt,4700
심창민,2016,삼성,14000
아두치,2016,롯데,0
안규영,2016,두산,3000
안상빈,2016,kt,3700
안상현,2016,SSG,2700
안성무,2016,삼성,2900
